symbol,description,exchange,listedMarket,securityType
@MWQ25P.OI.Z,HARD RED SPRING WHEAT Aug 2025 Future Option Put Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWQ25P.VOL.Z,HARD RED SPRING WHEAT Aug 2025 Future Option Put Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWU25C.OI.Z,HARD RED SPRING WHEAT Sep 2025 Future Option Call Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWU25C.VOL.Z,HARD RED SPRING WHEAT Sep 2025 Future Option Call Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWU25P.OI.Z,HARD RED SPRING WHEAT Sep 2025 Future Option Put Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWU25P.VOL.Z,HARD RED SPRING WHEAT Sep 2025 Future Option Put Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWZ25C.OI.Z,HARD RED SPRING WHEAT Dec 2025 Future Option Call Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWZ25C.VOL.Z,HARD RED SPRING WHEAT Dec 2025 Future Option Call Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWZ25P.OI.Z,HARD RED SPRING WHEAT Dec 2025 Future Option Put Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWZ25P.VOL.Z,HARD RED SPRING WHEAT Dec 2025 Future Option Put Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWH26C.OI.Z,HARD RED SPRING WHEAT Mar 2026 Future Option Call Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWH26C.VOL.Z,HARD RED SPRING WHEAT Mar 2026 Future Option Call Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
@MWH26P.OI.Z,HARD RED SPRING WHEAT Mar 2026 Future Option Put Total Open Interest,MGE,MGE_GBX,COMBINED_FOPTION
@MWH26P.VOL.Z,HARD RED SPRING WHEAT Mar 2026 Future Option Put Total Volume,MGE,MGE_GBX,COMBINED_FOPTION
