symbol,description,exchange,listedMarket,securityType
TCG.OI.Z,CHUKYO GASOLINE Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TCG.VOL.Z,CHUKYO GASOLINE Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
TCK.OI.Z,CHUKYO KEROSENE Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TCK.VOL.Z,CHUKYO KEROSENE Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
TCL.OI.Z,PLATTS DUBAI CRUDE OIL Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TCL.VOL.Z,PLATTS DUBAI CRUDE OIL Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
TGL.OI.Z,GASOLINE Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TGL.VOL.Z,GASOLINE Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
TGO.OI.Z,GAS OIL Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TGO.VOL.Z,GAS OIL Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
TKS.OI.Z,KEROSENE Future Total Open Interest,TOCOM,TOCOM,COMBINED_FUTURE
TKS.VOL.Z,KEROSENE Future Total Volume,TOCOM,TOCOM,COMBINED_FUTURE
